x_desired,x_actual,error
0.2,0.213394213,0.013394213
0.21,0.223035565,0.013035565
0.22,0.232228784,0.012228784
0.23,0.241894459,0.011894459
0.24,0.251016298,0.011016298
0.25,0.259452909,0.009452909
0.26,0.269982581,0.009982581
0.27,0.278980446,0.008980446
0.28,0.288055006,0.008055006
0.29,0.297405607,0.007405607
0.3,0.306573934,0.006573934
0.31,0.315163907,0.005163907
0.32,0.323965445,0.003965445
0.33,0.333937518,0.003937518
0.34,0.342292357,0.002292357
0.35,0.351758854,0.001758854
0.36,0.360585226,0.000585226
0.37,0.369923465,-7.65E-05
0.38,0.379100189,-0.000899811
0.39,0.388083756,-0.001916244
0.4,0.397081512,-0.002918488
0.41,0.406411518,-0.003588482
0.42,0.415404286,-0.004595714
0.43,0.424345845,-0.005654155
0.44,0.433859479,-0.006140521
0.45,0.442824733,-0.007175267
0.46,0.452107019,-0.007892981
0.47,0.461645371,-0.008354629
0.48,0.470843523,-0.009156477
0.49,0.48039651,-0.00960349
0.5,0.489689842,-0.010310158
0.51,0.498842894,-0.011157106
0.52,0.509078582,-0.010921418
0.53,0.518774494,-0.011225506
0.54,0.528914733,-0.011085267
0.55,0.539067902,-0.010932098
0.56,0.548318364,-0.011681636
0.57,0.55802201,-0.01197799
0.58,0.570924802,-0.009075198
0.59,0.583436939,-0.006563061
0.6,0.594774305,-0.005225695
0.61,0.606980792,-0.003019208
0.62,0.619445404,-0.000554596
0.63,0.630319557,0.000319557
0.64,0.643380653,0.003380653
0.65,0.654510784,0.004510784
0.66,0.668048041,0.008048041
0.67,0.678093049,0.008093049
0.68,0.691095602,0.011095602
0.69,0.701711197,0.011711197
0.7,0.715837436,0.015837436
0.71,0.704712533,-0.005287467
0.72,0.716695616,-0.003304384
0.73,0.727330689,-0.002669311
0.74,0.734968448,-0.005031552
0.75,0.750768604,0.000768604
0.76,0.757776518,-0.002223482
0.77,0.768376702,-0.001623298
0.78,0.779959658,-4.03E-05
0.79,0.792094435,0.002094435
0.8,0.803174099,0.003174099
0.81,0.812374208,0.002374208
0.82,0.819584382,-0.000415618
0.83,0.834731191,0.004731191
0.84,0.841610113,0.001610113
0.85,0.852421166,0.002421166
0.86,0.863200834,0.003200834
0.87,0.873012481,0.003012481
0.88,0.881330152,0.001330152
0.89,0.894138516,0.004138516
0.9,0.901233073,0.001233073
0.91,0.910038267,3.83E-05
0.92,0.92513543,0.00513543
0.93,0.93235728,0.00235728
0.94,0.940977275,0.000977275
0.95,0.949726237,-0.000273763
0.96,0.959362251,-0.000637749
0.97,0.967676847,-0.002323153
0.98,0.979627773,-0.000372227
0.99,0.988848039,-0.001151961
1,0.993743419,-0.006256581
1.01,1.004583084,-0.005416916
1.02,1.015425624,-0.004574376
1.03,1.02040537,-0.00959463
1.04,1.030170145,-0.009829855
1.05,1.039965916,-0.010034084
1.06,1.075072698,0.015072698
1.07,1.081123522,0.011123522
1.08,1.092626247,0.012626247
1.09,1.102329118,0.012329118
1.1,1.110302144,0.010302144
1.11,1.11859095,0.00859095
1.12,1.128573206,0.008573206
1.13,1.135621998,0.005621998
1.14,1.144338774,0.004338774
1.15,1.151699158,0.001699158
1.16,1.160974755,0.000974755
1.17,1.169086421,-0.000913579
1.18,1.177035222,-0.002964778
1.19,1.187353533,-0.002646467
1.2,1.196769752,-0.003230248
1.21,1.20155636,-0.00844364
1.22,1.230762829,0.010762829
1.23,1.24128469,0.01128469
1.24,1.252664383,0.012664383
1.25,1.256863755,0.006863755
1.26,1.265959385,0.005959385
1.27,1.276926965,0.006926965
1.28,1.283491693,0.003491693
1.29,1.29208791,0.00208791
1.3,1.298381859,-0.001618141
1.31,1.308127537,-0.001872463
1.32,1.314643348,-0.005356652
1.33,1.322470188,-0.007529812
1.34,1.329057828,-0.010942172
1.35,1.339558477,-0.010441523
1.36,1.347407196,-0.012592804
1.37,1.369590093,-0.000409907
1.38,1.374758501,-0.005241499
1.39,1.382727073,-0.007272927
1.4,1.392996231,-0.007003769
1.41,1.402831324,-0.007168676
1.42,1.410559683,-0.009440317
1.43,1.430892471,0.000892471
1.44,1.438021619,-0.001978381
1.45,1.452968462,0.002968462
1.46,1.458451938,-0.001548062
1.47,1.460109629,-0.009890371
1.48,1.466134847,-0.013865153
1.49,1.477436203,-0.012563797
1.5,1.48382077,-0.01617923
